Opp. Id;ContactId;RecordType.Name;Account.Name;Amount;Platform__c;CloseDate;Donation_Date__c;StageName;Campaign.Name
0065G00000oIlUIQA0;0035G00002ARkYRQA1;Donation;`3485;100;Qgiv;16.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUJQA0;0035G00002ARkYSQA1;Donation;`1321;250;Qgiv;16.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUKQA0;0035G00002ARkYTQA1;Donation;`2384;52,5;Qgiv;16.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlULQA0;0035G00002ARkYUQA1;Donation;`2735;52,5;Qgiv;15.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUMQA0;0035G00001fVX6bQAG;Donation;`1093;100;Qgiv;15.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUNQA0;0035G00002ARkYVQA1;Donation;`3728;100;Qgiv;14.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oImOtQAK;0035G00002ARjvnQAD;Donation;`0254;767,18;Give Lively;19.04.2022;;Closed Won;2022 EWC Table Captains
0065G00000oImPRQA0;0035G00001j97o0QAA;Donation;`3809;100;Give Lively;15.04.2022;;Closed Won;2022 EWC
0065G00000oImPSQA0;003f40000172oucAAA;Donation;`2863;255,93;Give Lively;26.04.2022;;Closed Won;2022 EWC
0065G00000oImPTQA0;0035G00001l7MWGQA2;Donation;`5015;51,43;Give Lively;26.04.2022;;Closed Won;2022 EWC
0065G00000oImQAQA0;003f40000173jJzAAI;Donation;`3987;102,56;Give Lively;15.04.2022;;Closed Won;2022 EWC
0065G00000oImQBQA0;0035G00002ARlrsQAD;Donation;`1054;75;Give Lively;26.04.2022;;Closed Won;2022 EWC
